image_id,mask_id
012874f4-rolha000023.png,012874f4-rolha000023.png
01499ef3-rolha000068.png,01499ef3-rolha000068.png
016c3f38-rolha000136.png,016c3f38-rolha000136.png
0241ab22-rolha000199.png,0241ab22-rolha000199.png
0246b0a7-rolha000229.png,0246b0a7-rolha000229.png
032b3a21-rolha000001.png,032b3a21-rolha000001.png
0442b882-rolha000212.png,0442b882-rolha000212.png
0633d81c-rolha000056.png,0633d81c-rolha000056.png
06386534-rolha000197.png,06386534-rolha000197.png
0655ffea-rolha000077.png,0655ffea-rolha000077.png
065795ce-rolha000083.png,065795ce-rolha000083.png
0847c995-rolha000110.png,0847c995-rolha000110.png
08c14cbc-rolha000088.png,08c14cbc-rolha000088.png
0966c22a-rolha000176.png,0966c22a-rolha000176.png
0aafb60a-rolha000126.png,0aafb60a-rolha000126.png
0b1c190e-rolha000166.png,0b1c190e-rolha000166.png
0caa882c-rolha000005.png,0caa882c-rolha000005.png
0d9c0d6a-rolha000163.png,0d9c0d6a-rolha000163.png
0f33f325-rolha000143.png,0f33f325-rolha000143.png
0fd3210d-rolha000001.png,0fd3210d-rolha000001.png
10534a78-rolha000194.png,10534a78-rolha000194.png
11b265d1-rolha000023.png,11b265d1-rolha000023.png
1348e00b-rolha000204.png,1348e00b-rolha000204.png
141a557f-rolha000210.png,141a557f-rolha000210.png
172d609d-rolha000137.png,172d609d-rolha000137.png
17e2ad66-rolha000061.png,17e2ad66-rolha000061.png
18de36c8-rolha000037.png,18de36c8-rolha000037.png
19086e32-rolha000165.png,19086e32-rolha000165.png
194b8464-rolha000091.png,194b8464-rolha000091.png
19758ea2-rolha000153.png,19758ea2-rolha000153.png
19ba2f08-rolha000073.png,19ba2f08-rolha000073.png
1a693b2b-rolha000002.png,1a693b2b-rolha000002.png
1b2fd1d0-rolha000224.png,1b2fd1d0-rolha000224.png
1b43697e-rolha000038.png,1b43697e-rolha000038.png
1b4b7d86-rolha000123.png,1b4b7d86-rolha000123.png
1b70c528-rolha000165.png,1b70c528-rolha000165.png
1c172ff8-rolha000156.png,1c172ff8-rolha000156.png
1cb1f05b-rolha000094.png,1cb1f05b-rolha000094.png
1cd42ba0-rolha000120.png,1cd42ba0-rolha000120.png
1d09bd71-rolha000214.png,1d09bd71-rolha000214.png
1f5c0ba2-rolha000127.png,1f5c0ba2-rolha000127.png
1f6ebac8-rolha000162.png,1f6ebac8-rolha000162.png
1ff76a2b-rolha000190.png,1ff76a2b-rolha000190.png
1ff8dacf-rolha000191.png,1ff8dacf-rolha000191.png
20577b56-rolha000090.png,20577b56-rolha000090.png
20890cf5-rolha000203.png,20890cf5-rolha000203.png
208a0a7f-rolha000148.png,208a0a7f-rolha000148.png
20a53d2e-rolha000148.png,20a53d2e-rolha000148.png
20d64130-rolha000114.png,20d64130-rolha000114.png
213b59ef-rolha000010.png,213b59ef-rolha000010.png
219fcec0-rolha000162.png,219fcec0-rolha000162.png
23e57600-rolha000112.png,23e57600-rolha000112.png
24e01c29-rolha000157.png,24e01c29-rolha000157.png
2582002b-rolha000032.png,2582002b-rolha000032.png
264051ac-rolha000037.png,264051ac-rolha000037.png
26983c80-rolha000063.png,26983c80-rolha000063.png
275e3996-rolha000201.png,275e3996-rolha000201.png
278353b3-rolha000139.png,278353b3-rolha000139.png
28036166-rolha000219.png,28036166-rolha000219.png
28402b7e-rolha000077.png,28402b7e-rolha000077.png
2852378e-rolha000011.png,2852378e-rolha000011.png
29c725f3-rolha000083.png,29c725f3-rolha000083.png
2aef2d69-rolha000022.png,2aef2d69-rolha000022.png
2c184b3e-rolha000131.png,2c184b3e-rolha000131.png
2c4a4a61-rolha000105.png,2c4a4a61-rolha000105.png
2d537dba-rolha000024.png,2d537dba-rolha000024.png
2e1841bb-rolha000126.png,2e1841bb-rolha000126.png
2fb03da4-rolha000159.png,2fb03da4-rolha000159.png
32835254-rolha000234.png,32835254-rolha000234.png
35d6c1c1-rolha000116.png,35d6c1c1-rolha000116.png
35febefd-rolha000142.png,35febefd-rolha000142.png
3654d221-rolha000140.png,3654d221-rolha000140.png
369da6b6-rolha000178.png,369da6b6-rolha000178.png
37078485-rolha000046.png,37078485-rolha000046.png
3711231a-rolha000007.png,3711231a-rolha000007.png
374a4c05-rolha000082.png,374a4c05-rolha000082.png
37607c55-rolha000100.png,37607c55-rolha000100.png
37638f34-rolha000170.png,37638f34-rolha000170.png
37b789b0-rolha000130.png,37b789b0-rolha000130.png
39061de9-rolha000030.png,39061de9-rolha000030.png
3aa3b52f-rolha000012.png,3aa3b52f-rolha000012.png
3ac847c4-rolha000141.png,3ac847c4-rolha000141.png
3afe119e-rolha000129.png,3afe119e-rolha000129.png
3be2f0e5-rolha000238.png,3be2f0e5-rolha000238.png
3d888f48-rolha000169.png,3d888f48-rolha000169.png
3e18038b-rolha000073.png,3e18038b-rolha000073.png
3e221207-rolha000058.png,3e221207-rolha000058.png
406343e3-rolha000209.png,406343e3-rolha000209.png
4083eb45-rolha000013.png,4083eb45-rolha000013.png
408c789c-rolha000043.png,408c789c-rolha000043.png
40dce55b-rolha000109.png,40dce55b-rolha000109.png
41ad9052-rolha000014.png,41ad9052-rolha000014.png
42db18cd-rolha000069.png,42db18cd-rolha000069.png
431ea56c-rolha000067.png,431ea56c-rolha000067.png
434ccf97-rolha000018.png,434ccf97-rolha000018.png
43b24a88-rolha000145.png,43b24a88-rolha000145.png
447152a6-rolha000048.png,447152a6-rolha000048.png
4491d634-rolha000025.png,4491d634-rolha000025.png
44b10d06-rolha000020.png,44b10d06-rolha000020.png
4506c4c3-rolha000152.png,4506c4c3-rolha000152.png
458ba39c-rolha000133.png,458ba39c-rolha000133.png
4631795d-rolha000045.png,4631795d-rolha000045.png
46ea9a7e-rolha000035.png,46ea9a7e-rolha000035.png
46ec17ff-rolha000043.png,46ec17ff-rolha000043.png
4705e4b6-rolha000092.png,4705e4b6-rolha000092.png
47d50f36-rolha000005.png,47d50f36-rolha000005.png
480cbe4d-rolha000111.png,480cbe4d-rolha000111.png
481c4d82-rolha000118.png,481c4d82-rolha000118.png
49280f37-rolha000047.png,49280f37-rolha000047.png
4a563a72-rolha000133.png,4a563a72-rolha000133.png
4b5b7ba7-rolha000151.png,4b5b7ba7-rolha000151.png
4b9d7e6d-rolha000019.png,4b9d7e6d-rolha000019.png
4c09ecd5-rolha000129.png,4c09ecd5-rolha000129.png
4c907054-rolha000163.png,4c907054-rolha000163.png
4cbd0ad8-rolha000134.png,4cbd0ad8-rolha000134.png
4d5566f1-rolha000040.png,4d5566f1-rolha000040.png
4e0007f4-rolha000152.png,4e0007f4-rolha000152.png
4e4548a4-rolha000085.png,4e4548a4-rolha000085.png
4eb61632-rolha000074.png,4eb61632-rolha000074.png
4fd6a9aa-rolha000027.png,4fd6a9aa-rolha000027.png
5164947f-rolha000066.png,5164947f-rolha000066.png
51e24fa2-rolha000079.png,51e24fa2-rolha000079.png
51ec19dd-rolha000020.png,51ec19dd-rolha000020.png
521bd3bc-rolha000055.png,521bd3bc-rolha000055.png
524dd654-rolha000159.png,524dd654-rolha000159.png
5258a082-rolha000128.png,5258a082-rolha000128.png
52616756-rolha000239.png,52616756-rolha000239.png
53489aa8-rolha000147.png,53489aa8-rolha000147.png
53cae7d8-rolha000100.png,53cae7d8-rolha000100.png
